id,formattedAddress,addressLine1,addressLine2,city,state,zipCode,county,latitude,longitude,propertyType,bedrooms,bathrooms,squareFootage,lotSize,yearBuilt,hoa,status,price,listingType,listedDate,removedDate,createdDate,lastSeenDate,daysOnMarket,mlsName,mlsNumber,listingAgent,listingOffice,history,builder
"855-Peachtree-St-NE,-Unit-1412,-Atlanta,-GA-30308","855 Peachtree St NE, Unit 1412, Atlanta, GA 30308",855 Peachtree St NE,Unit 1412,Atlanta,GA,30308,Fulton,33.7778,-84.383904,Condo,1,1,748.0,741.0,2008.0,{'fee': 580},Active,330000,Standard,2024-05-09T00:00:00.000Z,,2022-10-22T11:11:00.160Z,2024-10-12T13:48:06.796Z,157,FMLS,7383590,"{'name': 'Vicky Taylor, Agent', 'phone': '7703161605', 'email': 'vickytaylorkw@gmail.com', 'website': 'http://taylorandcompany.kw.com'}","{'name': 'Keller Williams Realty Atlanta Partners ', 'phone': '6788081300', 'email': 'leads@atlantanortheast.com', 'website': 'http://www.atlantanortheast.com'}","{'2024-05-09': {'event': 'Sale Listing', 'price': 330000, 'listingType': 'Standard', 'listedDate': '2024-05-09T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 157}}",
"403-Granville-Ct,-Sandy-Springs,-GA-30328","403 Granville Ct, Sandy Springs, GA 30328",403 Granville Ct,,Sandy Springs,GA,30328,Fulton,33.930695,-84.361616,Condo,1,1,629.0,627.0,1989.0,{'fee': 230},Active,224000,Standard,2024-05-09T00:00:00.000Z,,2024-03-10T00:00:00.000Z,2024-10-12T13:48:06.794Z,157,FMLS,7382560,"{'name': 'Bryan Lipowsky', 'phone': '2404476005', 'email': 'blipowsky@gmail.com'}","{'name': 'Chapman Hall Realtors', 'phone': '4042360043', 'email': 'charlotte@chapmanhallrealtors.com', 'website': 'www.chapmanhallrealtors.com'}","{'2024-05-09': {'event': 'Sale Listing', 'price': 224000, 'listingType': 'Standard', 'listedDate': '2024-05-09T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 157}}",
"250-Park-Ave-W,-Unit-602,-Atlanta,-GA-30313","250 Park Ave W, Unit 602, Atlanta, GA 30313",250 Park Ave W,Unit 602,Atlanta,GA,30313,Fulton,33.761616,-84.395096,Condo,1,1,,1045.0,2002.0,{'fee': 464},Active,328000,Standard,2024-05-09T00:00:00.000Z,,2020-09-21T20:38:06.105Z,2024-10-12T13:48:06.793Z,157,FMLS,7383588,"{'name': 'Jamila Johnson', 'phone': '6789847679', 'email': 'jaejaohnson@kw.com'}","{'name': 'Exp Realty LLC', 'phone': '8889599461', 'email': 'jason.white@exprealty.com'}","{'2024-05-09': {'event': 'Sale Listing', 'price': 328000, 'listingType': 'Standard', 'listedDate': '2024-05-09T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 157}}",
"1072-Piedmont-Ave-NE,-Apt-108,-Atlanta,-GA-30309","1072 Piedmont Ave NE, Apt 108, Atlanta, GA 30309",1072 Piedmont Ave NE,Apt 108,Atlanta,GA,30309,Fulton,33.784115,-84.379425,Condo,1,1,602.0,1002.0,1982.0,{'fee': 495},Active,249000,Standard,2024-05-09T00:00:00.000Z,,2024-01-26T00:00:00.000Z,2024-10-12T13:48:06.784Z,157,FMLS,7384024,"{'name': 'Julia Cox', 'phone': '4042375000', 'email': 'juliacox@atlantafinehomes.com', 'website': 'https://juliacox.atlantafinehomes.com/eng'}","{'name': ""Atlanta Fine Homes Sotheby's International Realty"", 'phone': '4042375000', 'email': 'info@atlantafinehomes.com', 'website': 'http://www.atlantafinehomes.com/'}","{'2024-05-09': {'event': 'Sale Listing', 'price': 249000, 'listingType': 'Standard', 'listedDate': '2024-05-09T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 157}}",
"300-W-Peachtree-St,-Unit-23F,-Atlanta,-GA-30308","300 W Peachtree St, Unit 23F, Atlanta, GA 30308",300 W Peachtree St,Unit 23F,Atlanta,GA,30308,Fulton,33.762566,-84.387883,Condo,1,1,557.0,566.0,1962.0,{'fee': 529},Active,219000,Standard,2024-05-06T00:00:00.000Z,,2022-04-26T15:07:52.203Z,2024-10-12T13:48:06.734Z,160,GeorgiaMLS,10294149,"{'name': 'Inga Harmon', 'phone': '4784743566', 'email': 'ingaharmon@hotmail.com', 'website': 'ingaharmon'}","{'name': 'Harmon & Harmon Realtors, Inc.', 'phone': '4784742268', 'email': 'delois@harmonandharmon.com', 'website': 'www.harmonandharmon.com'}","{'2024-05-06': {'event': 'Sale Listing', 'price': 219000, 'listingType': 'Standard', 'listedDate': '2024-05-06T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 160}}",
"1023-Juniper-St-NE,-Unit-102,-Atlanta,-GA-30309","1023 Juniper St NE, Unit 102, Atlanta, GA 30309",1023 Juniper St NE,Unit 102,Atlanta,GA,30309,Fulton,33.782628,-84.382136,Condo,1,1,1062.0,1063.0,2002.0,{'fee': 395},Active,375000,Standard,2024-05-07T00:00:00.000Z,,2022-06-22T15:36:43.794Z,2024-10-12T13:48:06.728Z,159,FMLS,7382506,"{'name': 'Kirsten Conover', 'phone': '4043861103', 'email': 'kirstendc@comcast.net', 'website': 'http://www.ourhomeatlanta.com'}","{'name': 'Berkshire Hathaway HomeServices Georgia Properties', 'phone': '4042668100', 'email': 'customercare@bhhsgeorgia.com', 'website': 'http://www.bhhsgeorgia.com'}","{'2024-05-07': {'event': 'Sale Listing', 'price': 375000, 'listingType': 'Standard', 'listedDate': '2024-05-07T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 159}}",
"3235-Roswell-Rd-NE,-Unit-719,-Atlanta,-GA-30305","3235 Roswell Rd NE, Unit 719, Atlanta, GA 30305",3235 Roswell Rd NE,Unit 719,Atlanta,GA,30305,Fulton,33.843801,-84.378567,Condo,1,1,1125.0,1133.0,1999.0,{'fee': 706},Active,364000,Standard,2024-05-09T00:00:00.000Z,,2023-11-11T00:00:00.000Z,2024-10-12T13:48:06.705Z,157,FMLS,7384368,"{'name': 'Jackie Combahee', 'phone': '4043171362', 'email': 'jackie@ansleyatlanta.com', 'website': 'https://www.ansleyatlanta.com/agents/jackie-combahee/'}","{'name': ""Ansley Real Estate | Christie's International Real Estate"", 'phone': '4044804663', 'email': 'lane@ansleyatlanta.com'}","{'2024-05-09': {'event': 'Sale Listing', 'price': 364000, 'listingType': 'Standard', 'listedDate': '2024-05-09T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 157}}",
"361-17th-St-NW,-Unit-1107,-Atlanta,-GA-30363","361 17th St NW, Unit 1107, Atlanta, GA 30363",361 17th St NW,Unit 1107,Atlanta,GA,30363,Fulton,33.791622,-84.398068,Condo,1,1,830.0,828.0,2005.0,{'fee': 529},Active,289999,Standard,2024-05-10T00:00:00.000Z,,2023-08-02T00:00:00.000Z,2024-10-12T13:48:06.702Z,156,FMLS,7384945,"{'name': 'Duane Mitchell', 'phone': '4049318126', 'email': 'theduaneadvantage@gmail.com', 'website': 'http://theduaneadvantage.com'}","{'name': 'Atlanta Communities - Brookhaven/Dunwoody', 'phone': '4048444198', 'email': 'dunwoody@atlantacommunities.net', 'website': 'http://www.atlantacommunities.net'}","{'2024-05-10': {'event': 'Sale Listing', 'price': 289999, 'listingType': 'Standard', 'listedDate': '2024-05-10T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 156}}",
"898-Sw-Oak-St,-Unit-1418,-Atlanta,-GA-30310","898 Sw Oak St, Unit 1418, Atlanta, GA 30310",898 Sw Oak St,Unit 1418,Atlanta,GA,30310,Fulton,33.739072,-84.417222,Condo,1,1,696.0,697.0,2006.0,{'fee': 26},Active,141999,Standard,2024-05-15T00:00:00.000Z,,2022-08-05T11:47:34.461Z,2024-10-12T13:48:06.676Z,151,GeorgiaMLS,10299789,"{'name': 'Joshua Murphy', 'phone': '7063157042', 'email': 'joshua.murphy@bhhsgeorgia.com'}","{'name': 'Berkshire Hathaway HomeServices Georgia Properties', 'phone': '7702548333', 'email': 'customercare@bhhsgeorgia.com', 'website': 'http://www.bhhsgeorgia.com'}","{'2024-05-15': {'event': 'Sale Listing', 'price': 141999, 'listingType': 'Standard', 'listedDate': '2024-05-15T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 151}}",
"898-Oak-St-SW,-Unit-1418,-Atlanta,-GA-30310","898 Oak St SW, Unit 1418, Atlanta, GA 30310",898 Oak St SW,Unit 1418,Atlanta,GA,30310,Fulton,33.739072,-84.417222,Condo,1,1,696.0,697.0,2006.0,,Active,141999,Standard,2024-05-16T00:00:00.000Z,,2022-08-05T11:47:34.464Z,2024-10-12T13:47:17.066Z,150,FMLS,7387648,"{'name': 'Joshua Murphy', 'phone': '7063157042', 'email': 'joshua.murphy@bhhsgeorgia.com'}","{'name': 'Berkshire Hathaway HomeServices Georgia Properties', 'phone': '7702548333', 'email': 'customercare@bhhsgeorgia.com', 'website': 'http://www.bhhsgeorgia.com'}","{'2024-05-16': {'event': 'Sale Listing', 'price': 141999, 'listingType': 'Standard', 'listedDate': '2024-05-16T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 150}}",
"2700-Pine-Tree-Rd-NE,-Unit-1211,-Atlanta,-GA-30324","2700 Pine Tree Rd NE, Unit 1211, Atlanta, GA 30324",2700 Pine Tree Rd NE,Unit 1211,Atlanta,GA,30324,Fulton,33.828425,-84.359152,Condo,1,1,784.0,784.0,2000.0,{'fee': 265},Active,218000,Standard,2024-05-21T00:00:00.000Z,,2021-04-18T12:00:27.107Z,2024-10-12T13:47:17.059Z,145,FMLS,7389874,"{'name': 'Linda Erzah', 'phone': '6786022203', 'email': 'linda.erzah@gmail.com', 'website': 'https://lindalistens.atlantageorgiahomesales.com/'}","{'name': 'Virtual Properties Realty Biz', 'phone': '7704955050', 'email': 'jabarnhart@vpradmin.com', 'website': 'www.virtualpropertiesrealty.biz'}","{'2024-05-21': {'event': 'Sale Listing', 'price': 218000, 'listingType': 'Standard', 'listedDate': '2024-05-21T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 145}}",
"2870-Pharr-Ct,-South-NW-Apt-2002,-Atlanta,-GA-30305","2870 Pharr Ct, South NW Apt 2002, Atlanta, GA 30305",2870 Pharr Ct,South NW Apt 2002,Atlanta,GA,30305,Fulton,33.83405,-84.385754,Condo,1,1,807.0,828.0,1988.0,{'fee': 40},Active,229000,Standard,2024-05-21T00:00:00.000Z,,2023-11-22T00:00:00.000Z,2024-10-12T13:47:17.054Z,145,GeorgiaMLS,10303372,"{'name': 'Ajanaa Decarmo', 'phone': '4048842118', 'email': 'adecarmo@remax.net', 'website': 'http://www.ajanaadecarmo.bhhsgeorgia.com'}","{'name': 'REMAX Legends', 'phone': '7709635181', 'email': 'jimmy.vandegrift@remax-legends.com', 'website': 'http://www.remax-legends.com/'}","{'2024-05-21': {'event': 'Sale Listing', 'price': 229000, 'listingType': 'Standard', 'listedDate': '2024-05-21T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 145}}",
"171-Auburn-Ave-NE,-Unit-102,-Atlanta,-GA-30303","171 Auburn Ave NE, Unit 102, Atlanta, GA 30303",171 Auburn Ave NE,Unit 102,Atlanta,GA,30303,Fulton,33.755216,-84.381853,Condo,1,1,979.0,1002.0,2007.0,{'fee': 299},Active,230000,Standard,2024-05-21T00:00:00.000Z,,2022-02-22T12:07:41.011Z,2024-10-12T13:47:17.046Z,145,GeorgiaMLS,10303084,{'name': 'Stephanie Bennett'},"{'name': 'Keller Williams Atl. Midtown', 'phone': '4046043101', 'email': 'rick@rickhale.com', 'website': 'atlantamidtown.yourkwoffice.com'}","{'2024-05-21': {'event': 'Sale Listing', 'price': 230000, 'listingType': 'Standard', 'listedDate': '2024-05-21T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 145}}",
"9300-Roberts-Dr,-Atlanta,-GA-30350","9300 Roberts Dr, Atlanta, GA 30350",9300 Roberts Dr,,Atlanta,GA,30350,Fulton,34.002717,-84.335324,Condo,1,1,650.0,43560.0,2025.0,{'fee': 250},Active,299000,New Construction,2024-05-22T00:00:00.000Z,,2024-05-23T00:00:00.000Z,2024-10-12T13:47:17.045Z,144,FMLS,7390490,"{'name': 'Avi  Shemesh', 'phone': '4046633735', 'email': 'shemeshavi@aol.com'}","{'name': 'Chapman Hall Realty', 'phone': '4042524512', 'email': 'chapman@chapmanhallrealtors.com', 'website': 'www.chapmanhallrealty.biz'}","{'2024-05-22': {'event': 'Sale Listing', 'price': 299000, 'listingType': 'New Construction', 'listedDate': '2024-05-22T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 144}}",
"1112-Pine-Heights-Dr-NE,-Atlanta,-GA-30324","1112 Pine Heights Dr NE, Atlanta, GA 30324",1112 Pine Heights Dr NE,,Atlanta,GA,30324,Fulton,33.828849,-84.355366,Condo,1,1,831.0,832.0,1986.0,{'fee': 391},Active,215000,Standard,2024-05-23T00:00:00.000Z,,2024-05-24T00:00:00.000Z,2024-10-12T13:47:17.040Z,143,FMLS,7391198,"{'name': 'Gwendolyn Mckinley', 'phone': '7703747870', 'email': 'gwenmckinley@bellsouth.net'}","{'name': 'Gg Sells Atlanta', 'phone': '7706541283', 'email': 'gwenmckinley@bellsouth.net'}","{'2024-05-23': {'event': 'Sale Listing', 'price': 215000, 'listingType': 'Standard', 'listedDate': '2024-05-23T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 143}}",
"795-Hammond-Dr,-Apt-1702,-Sandy-Springs,-GA-30328","795 Hammond Dr, Apt 1702, Sandy Springs, GA 30328",795 Hammond Dr,Apt 1702,Sandy Springs,GA,30328,Fulton,33.917494,-84.359405,Condo,1,1,700.0,697.0,1990.0,{'fee': 430},Active,180000,Standard,2024-05-22T00:00:00.000Z,,2024-05-23T00:00:00.000Z,2024-10-12T13:47:17.033Z,144,GeorgiaMLS,10304288,"{'name': 'Darion Woods', 'phone': '4045435354', 'email': 'woodscollc@gmail.com'}","{'name': 'Brownstone Realty Group, LLC', 'phone': '6787534053', 'email': 'homesbyannetta@gmail.com'}","{'2024-05-22': {'event': 'Sale Listing', 'price': 180000, 'listingType': 'Standard', 'listedDate': '2024-05-22T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 144}}",
"2479-Peachtree-Rd-NE,-Apt-1506,-Atlanta,-GA-30305","2479 Peachtree Rd NE, Apt 1506, Atlanta, GA 30305",2479 Peachtree Rd NE,Apt 1506,Atlanta,GA,30305,Fulton,33.822483,-84.386464,Condo,1,1,837.0,828.0,1967.0,{'fee': 642},Active,195000,Standard,2024-05-22T00:00:00.000Z,,2020-09-17T14:51:51.095Z,2024-10-12T13:47:17.017Z,144,FMLS,7390583,"{'name': 'Jenny Chase', 'phone': '4048740300', 'email': 'jennychase@atlantafinehomes.com'}","{'name': ""Atlanta Fine Homes Sotheby's International Realty"", 'phone': '4048740300', 'email': 'info@atlantafinehomes.com', 'website': 'http://www.atlantafinehomes.com/'}","{'2024-05-22': {'event': 'Sale Listing', 'price': 195000, 'listingType': 'Standard', 'listedDate': '2024-05-22T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 144}}",
"3481-Lakeside-Dr-NE,-Apt-1705,-Atlanta,-GA-30326","3481 Lakeside Dr NE, Apt 1705, Atlanta, GA 30326",3481 Lakeside Dr NE,Apt 1705,Atlanta,GA,30326,Fulton,33.849083,-84.357144,Condo,1,1,750.0,749.0,1990.0,{'fee': 491},Active,265000,Standard,2024-05-23T00:00:00.000Z,,2024-05-24T00:00:00.000Z,2024-10-12T13:47:17.007Z,143,FMLS,7389362,"{'name': 'Samir Virani', 'phone': '6788830515', 'website': 'http://bestcobbhomes.com/'}","{'name': 'Keller Williams Realty Atlanta - East Cobb', 'phone': '7705090700', 'email': 'klrw178@kw.com;jima@kw.com', 'website': 'http://www.atlantanorthkw.com/'}","{'2024-05-23': {'event': 'Sale Listing', 'price': 265000, 'listingType': 'Standard', 'listedDate': '2024-05-23T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 143}}",
"525-Parkway-Dr-NE,-Apt-210,-Atlanta,-GA-30308","525 Parkway Dr NE, Apt 210, Atlanta, GA 30308",525 Parkway Dr NE,Apt 210,Atlanta,GA,30308,Fulton,33.768639,-84.372505,Condo,1,1,657.0,,2020.0,{'fee': 326},Active,260000,Standard,2024-05-28T00:00:00.000Z,,2024-05-27T00:00:00.000Z,2024-10-12T13:47:09.068Z,138,GeorgiaMLS,10307034,"{'name': 'Lihai Zhang', 'phone': '7702544690', 'email': 'zhanglihai97@gmail.com'}","{'name': 'KELLER WILLIAMS REALTY FIRST ATLANTA', 'phone': '4045315700', 'email': 'johnfountain@kw.com', 'website': 'http://www.kwatlanta.com'}","{'2024-05-28': {'event': 'Sale Listing', 'price': 260000, 'listingType': 'Standard', 'listedDate': '2024-05-28T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 138}}",
"860-Peachtree-St-NE,-Unit-1309,-Atlanta,-GA-30308","860 Peachtree St NE, Unit 1309, Atlanta, GA 30308",860 Peachtree St NE,Unit 1309,Atlanta,GA,30308,Fulton,33.77844,-84.385477,Condo,1,1,761.0,762.0,2005.0,{'fee': 485},Active,320000,Standard,2024-05-24T00:00:00.000Z,,2024-05-25T00:00:00.000Z,2024-10-12T13:47:09.022Z,142,FMLS,7392099,"{'name': 'Adam Parker', 'phone': '4048499829', 'email': 'adamsparker@gmail.com', 'website': 'http://www.adamparker.com'}","{'name': 'Engel & Volkers Atlanta', 'phone': '4048457724', 'email': 'atlanta@engelvoelkers.com', 'website': 'https://evatlanta.evrealestate.com'}","{'2024-05-24': {'event': 'Sale Listing', 'price': 320000, 'listingType': 'Standard', 'listedDate': '2024-05-24T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 142}}",
"300-Peachtree-St-NE,-Apt-5B,-Atlanta,-GA-30308","300 Peachtree St NE, Apt 5B, Atlanta, GA 30308",300 Peachtree St NE,Apt 5B,Atlanta,GA,30308,Fulton,33.762566,-84.387883,Condo,1,1,621.0,623.0,1962.0,{'fee': 529},Active,239000,Standard,2024-05-26T00:00:00.000Z,,2024-05-27T00:00:00.000Z,2024-10-12T13:47:09.011Z,140,FMLS,7392977,"{'name': 'Jamey Waters', 'phone': '6787304285', 'email': 'jwaters@propertygroupga.com', 'website': 'http://www.propertygroupga.com'}","{'name': 'HomeSmart', 'phone': '4048764901', 'email': 'tvonbrinegar@phpatlanta.com', 'website': 'www.palmerhouseproperties.com'}","{'2024-05-26': {'event': 'Sale Listing', 'price': 239000, 'listingType': 'Standard', 'listedDate': '2024-05-26T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 140}}",
