account,amount,currency,title,note,date,income,type,category name,subcategory name,color,icon,emoji,budget,objective
Main,8.0,USD,,,2025-01-08,False,null,Taxi,,#ffee58,taxi(1).png,,,
Main,12.0,USD,,,2025-01-08,False,null,Taxi,,#ffee58,taxi(1).png,,,
Main,8.0,USD,,,2025-01-08,False,null,Taxi,,#ffee58,taxi(1).png,,,
Main,8.0,USD,,,2025-01-08,False,null,Taxi,,#ffee58,taxi(1).png,,,
Main,50.0,USD,,Remesas Tía Tita Wi,2025-01-07,False,null,Gifts,,#f44336,gift.png,,,
Main,8.0,USD,,,2025-01-07,False,null,Taxi,,#ffee58,taxi(1).png,,,
Main,12.0,USD,,,2025-01-07,False,null,Taxi,,#ffee58,taxi(1).png,,,
Main,8.0,USD,,,2025-01-07,False,null,Taxi,,#ffee58,taxi(1).png,,,
Main,8.0,USD,,,2025-01-07,False,null,Taxi,,#ffee58,taxi(1).png,,,
Main,268.0,USD,,4 Primeros Meses en PL,2025-01-07,True,null,401k - 25% Match,,#26a69a,investment.png,,,
Main,718.0,USD,,Laundrolab Over-Time Pago Wiii,2025-01-06,True,null,Salary,,#66bb6a,money-bag2.png,,,
Main,65.0,USD,,,2025-01-06,False,null,Groceries,,#4caf50,groceries.png,,,
Main,275.0,USD,,Comida en Tennessee con la FAMILIA,2025-01-04,False,null,Dining,,#26c6da,food-tray.png,,,
Main,15.0,USD,,,2025-01-04,False,null,Dining,Tip,#26c6da,food-tray.png,,,
Main,11.5,USD,,,2025-01-03,False,null,Shopping,Wear's,#ef5350,shopping.png,,,
Main,34.0,USD,,,2025-01-03,False,null,Fast Food,,#ff7043,fast-food.png,,,
Main,8.0,USD,,,2025-01-03,False,null,Taxi,,#ffee58,taxi(1).png,,,
Main,12.0,USD,,,2025-01-03,False,null,Taxi,,#ffee58,taxi(1).png,,,
Main,8.0,USD,,,2025-01-03,False,null,Taxi,,#ffee58,taxi(1).png,,,
Main,8.0,USD,,,2025-01-03,False,null,Taxi,,#ffee58,taxi(1).png,,,
Main,8.0,USD,,,2025-01-02,False,null,Taxi,,#ffee58,taxi(1).png,,,
Main,12.0,USD,,,2025-01-02,False,null,Taxi,,#ffee58,taxi(1).png,,,
Main,8.0,USD,,,2025-01-02,False,null,Taxi,,#ffee58,taxi(1).png,,,
Main,8.0,USD,,,2025-01-02,False,null,Taxi,,#ffee58,taxi(1).png,,,
Main,176.0,USD,,,2025-01-01,False,null,Rent,Bills & Fees,#ab47bc,home2.png,,,
Main,850.0,USD,,8$ Fee Pago Tarjeta Included,2025-01-01,False,null,Rent,,#ab47bc,home2.png,,,
Main,5.0,USD,,,2025-01-01,False,null,Other Expense,,#78909c,price-tag.png,,,
Main,40.0,USD,,,2025-01-01,False,null,Other Expense,Home Wifi,#78909c,price-tag.png,,,
Main,15.0,USD,,,2024-12-31,False,null,Groceries,,#4caf50,groceries.png,,,
Main,56.0,USD,,Snowball 1Year Starter 30%OFF,2024-12-31,False,null,Subscription,,#ff7043,subscription.png,,,
Main,8.0,USD,,,2024-12-31,False,null,Taxi,,#ffee58,taxi(1).png,,,
Main,12.0,USD,,,2024-12-31,False,null,Taxi,,#ffee58,taxi(1).png,,,
Main,8.0,USD,,,2024-12-31,False,null,Taxi,,#ffee58,taxi(1).png,,,
Main,8.0,USD,,,2024-12-31,False,null,Taxi,,#ffee58,taxi(1).png,,,
Main,50.0,USD,,Puerco para el día 31 de Diciembre Fin de Año,2024-12-30,False,null,Other Expense,,#78909c,price-tag.png,,,
Main,255.0,USD,,Primer pago por los dos,2024-12-30,False,null,Health Insurance,,#ffee58,heart.png,,,
Main,8.0,USD,,,2024-12-30,False,null,Taxi,,#ffee58,taxi(1).png,,,
Main,12.0,USD,,,2024-12-30,False,null,Taxi,,#ffee58,taxi(1).png,,,
Main,8.0,USD,,,2024-12-30,False,null,Taxi,,#ffee58,taxi(1).png,,,
Main,8.0,USD,,,2024-12-30,False,null,Taxi,,#ffee58,taxi(1).png,,,
Main,3.0,USD,,Flexijobs 14 días Wiii,2024-12-29,False,null,Subscription,,#ff7043,subscription.png,,,
Main,34.0,USD,,El Indio ,2024-12-28,False,null,Fast Food,,#ff7043,fast-food.png,,,
Main,133.0,USD,,,2024-12-28,False,null,Groceries,,#4caf50,groceries.png,,,
Main,3.0,USD,,Wealthfolio Compra,2024-12-28,False,null,Subscription,,#ff7043,subscription.png,,,
Main,50.0,USD,,Yude Cumple Regalo Wi,2024-12-28,True,null,Other Income,Gifts,#ab47bc,bills.png,,,
Main,1.0,USD,,MySudo,2024-12-27,False,null,Subscription,,#ff7043,subscription.png,,,
Main,12.0,USD,,,2024-12-27,False,null,Taxi,,#ffee58,taxi(1).png,,,
Main,1188.0,USD,,,2024-12-27,True,null,Salary,,#66bb6a,money-bag2.png,,,
Main,1198.0,USD,,,2024-12-27,True,null,Salary,,#66bb6a,money-bag2.png,,,
Main,102.0,USD,,Locos de Wallstreet Curso 2do Pago,2024-12-26,False,null,Other Expense,Education,#78909c,price-tag.png,,,
Main,8.0,USD,,,2024-12-26,False,null,Taxi,,#ffee58,taxi(1).png,,,
Main,8.0,USD,,,2024-12-26,False,null,Taxi,,#ffee58,taxi(1).png,,,
Main,8.0,USD,,,2024-12-26,False,null,Taxi,,#ffee58,taxi(1).png,,,
Main,50.0,USD,,Laptop Sardi,2024-12-25,False,null,Shopping,Electronics,#ef5350,shopping.png,,,
Main,30.0,USD,,Oneplus Tita,2024-12-25,False,null,Shopping,Electronics,#ef5350,shopping.png,,,
Main,10.0,USD,,,2024-12-25,False,null,Other Expense,,#78909c,price-tag.png,,,
Main,7.0,USD,,,2024-12-24,False,null,Taxi,,#ffee58,taxi(1).png,,,
Main,7.0,USD,,,2024-12-24,False,null,Taxi,,#ffee58,taxi(1).png,,,
Main,12.0,USD,,,2024-12-24,False,null,Taxi,,#ffee58,taxi(1).png,,,
Main,8.0,USD,,,2024-12-24,False,null,Taxi,,#ffee58,taxi(1).png,,,
Main,14.0,USD,,,2024-12-23,False,null,Taxi,,#ffee58,taxi(1).png,,,
Main,10.0,USD,,,2024-12-23,False,null,Taxi,,#ffee58,taxi(1).png,,,
Main,8.0,USD,,,2024-12-23,False,null,Taxi,,#ffee58,taxi(1).png,,,
Main,8.0,USD,,,2024-12-23,False,null,Taxi,,#ffee58,taxi(1).png,,,
Main,40.0,USD,,Fiesta comprae carne para Navidad,2024-12-22,False,null,Other Expense,,#78909c,price-tag.png,,,
Main,23.0,USD,,Moomoo referral ,2024-12-22,True,null,Other Income,SignUp + Refers,#ab47bc,bills.png,,,
Main,90.0,USD,,,2024-12-21,False,null,Groceries,,#4caf50,groceries.png,,,
Main,27.0,USD,,Regalo Navidad de Misa,2024-12-21,False,null,Gifts,,#f44336,gift.png,,,
Main,50.0,USD,,Envio Tia Tita,2024-12-21,False,null,Gifts,,#f44336,gift.png,,,
Main,3.0,USD,,Resume Genius Builder 2WEEKS,2024-12-21,False,null,Subscription,,#ff7043,subscription.png,,,
Main,20.0,USD,,Proton Duo wi,2024-12-20,False,null,Subscription,,#ff7043,subscription.png,,,
Main,8.0,USD,,,2024-12-20,False,null,Taxi,,#ffee58,taxi(1).png,,,
Main,12.0,USD,,,2024-12-20,False,null,Taxi,,#ffee58,taxi(1).png,,,
Main,8.0,USD,,,2024-12-20,False,null,Taxi,,#ffee58,taxi(1).png,,,
Main,8.0,USD,,,2024-12-20,False,null,Taxi,,#ffee58,taxi(1).png,,,
Main,8.0,USD,,,2024-12-19,False,null,Taxi,,#ffee58,taxi(1).png,,,
Main,12.0,USD,,,2024-12-19,False,null,Taxi,,#ffee58,taxi(1).png,,,
Main,8.0,USD,,,2024-12-19,False,null,Taxi,,#ffee58,taxi(1).png,,,
Main,8.0,USD,,,2024-12-19,False,null,Taxi,,#ffee58,taxi(1).png,,,
Main,8.0,USD,,,2024-12-18,False,null,Taxi,,#ffee58,taxi(1).png,,,
Main,12.0,USD,,,2024-12-18,False,null,Taxi,,#ffee58,taxi(1).png,,,
Main,8.0,USD,,,2024-12-18,False,null,Taxi,,#ffee58,taxi(1).png,,,
Main,8.0,USD,,,2024-12-18,False,null,Taxi,,#ffee58,taxi(1).png,,,
Main,20.0,USD,,Nos los encontramos afuera,2024-12-17,True,null,Other Income,,#ab47bc,bills.png,,,
Main,8.0,USD,,,2024-12-17,False,null,Taxi,,#ffee58,taxi(1).png,,,
Main,12.0,USD,,,2024-12-17,False,null,Taxi,,#ffee58,taxi(1).png,,,
Main,8.0,USD,,,2024-12-17,False,null,Taxi,,#ffee58,taxi(1).png,,,
Main,8.0,USD,,,2024-12-17,False,null,Taxi,,#ffee58,taxi(1).png,,,
Main,10.0,USD,,,2024-12-16,False,null,Taxi,,#ffee58,taxi(1).png,,,
Main,12.0,USD,,,2024-12-16,False,null,Taxi,,#ffee58,taxi(1).png,,,
Main,8.0,USD,,,2024-12-16,False,null,Taxi,,#ffee58,taxi(1).png,,,
Main,8.0,USD,,,2024-12-16,False,null,Taxi,,#ffee58,taxi(1).png,,,
Main,163.0,USD,,,2024-12-14,False,null,Groceries,,#4caf50,groceries.png,,,
Main,34.0,USD,,34 Turmeric y Magnesio,2024-12-14,False,null,Other Expense,Medicine & Suplements,#78909c,price-tag.png,,,
Main,35.0,USD,,,2024-12-14,False,null,Other Expense,Barber,#78909c,price-tag.png,,,
Main,13.0,USD,,,2024-12-14,False,null,Taxi,,#ffee58,taxi(1).png,,,
Main,200.0,USD,,Referido Chime 100+100,2024-12-13,True,null,Other Income,SignUp + Refers,#ab47bc,bills.png,,,
Main,1097.0,USD,,,2024-12-13,True,null,Salary,,#66bb6a,money-bag2.png,,,
Main,1286.0,USD,,,2024-12-13,True,null,Salary,,#66bb6a,money-bag2.png,,,
Main,8.0,USD,,,2024-12-13,False,null,Taxi,,#ffee58,taxi(1).png,,,
Main,8.0,USD,,,2024-12-12,False,null,Taxi,,#ffee58,taxi(1).png,,,
Main,12.0,USD,,,2024-12-12,False,null,Taxi,,#ffee58,taxi(1).png,,,
Main,8.0,USD,,,2024-12-12,False,null,Taxi,,#ffee58,taxi(1).png,,,
Main,8.0,USD,,,2024-12-12,False,null,Taxi,,#ffee58,taxi(1).png,,,
Main,9.0,USD,,,2024-12-11,False,null,Taxi,,#ffee58,taxi(1).png,,,
Main,12.0,USD,,,2024-12-11,False,null,Taxi,,#ffee58,taxi(1).png,,,
Main,8.0,USD,,,2024-12-11,False,null,Taxi,,#ffee58,taxi(1).png,,,
Main,8.0,USD,,,2024-12-11,False,null,Taxi,,#ffee58,taxi(1).png,,,
Main,8.0,USD,,,2024-12-10,False,null,Taxi,,#ffee58,taxi(1).png,,,
Main,12.0,USD,,,2024-12-10,False,null,Taxi,,#ffee58,taxi(1).png,,,
Main,8.0,USD,,,2024-12-10,False,null,Taxi,,#ffee58,taxi(1).png,,,
Main,8.0,USD,,,2024-12-10,False,null,Taxi,,#ffee58,taxi(1).png,,,
Main,57.0,USD,,ADT ,2024-12-10,False,null,Other Expense,Home Security,#78909c,price-tag.png,,,
Main,8.0,USD,,,2024-12-09,False,null,Taxi,,#ffee58,taxi(1).png,,,
Main,9.0,USD,,,2024-12-09,False,null,Taxi,,#ffee58,taxi(1).png,,,
Main,8.0,USD,,,2024-12-09,False,null,Taxi,,#ffee58,taxi(1).png,,,
Main,8.0,USD,,,2024-12-09,False,null,Taxi,,#ffee58,taxi(1).png,,,
Main,30.0,USD,,,2024-12-08,False,null,Shopping,Wear's,#ef5350,shopping.png,,,
Main,70.0,USD,,"Regalos secret santa Casa de Meme
Regalos de Noel y de los niňos",2024-12-08,False,null,Gifts,,#f44336,gift.png,,,
Main,53.0,USD,,,2024-12-07,False,null,Groceries,,#4caf50,groceries.png,,,
Main,58.0,USD,,Regalo Marcis Secret Santa 38$ y companera del trabajo 20$,2024-12-07,False,null,Gifts,,#f44336,gift.png,,,
Main,26.0,USD,,Moomoo Referral,2024-12-06,True,null,Other Income,SignUp + Refers,#ab47bc,bills.png,,,
Main,8.0,USD,,,2024-12-06,False,null,Taxi,,#ffee58,taxi(1).png,,,
Main,12.0,USD,,,2024-12-06,False,null,Taxi,,#ffee58,taxi(1).png,,,
Main,8.0,USD,,,2024-12-06,False,null,Taxi,,#ffee58,taxi(1).png,,,
Main,8.0,USD,,,2024-12-06,False,null,Taxi,,#ffee58,taxi(1).png,,,
Main,8.0,USD,,,2024-12-05,False,null,Taxi,,#ffee58,taxi(1).png,,,
Main,12.0,USD,,,2024-12-05,False,null,Taxi,,#ffee58,taxi(1).png,,,
Main,8.0,USD,,,2024-12-05,False,null,Taxi,,#ffee58,taxi(1).png,,,
Main,8.0,USD,,,2024-12-05,False,null,Taxi,,#ffee58,taxi(1).png,,,
Main,95.0,USD,,WF Journey de Mima,2024-12-04,False,null,Other Expense,Credit Card Fee,#78909c,price-tag.png,,,
Main,8.0,USD,,,2024-12-04,False,null,Taxi,,#ffee58,taxi(1).png,,,
Main,12.0,USD,,,2024-12-04,False,null,Taxi,,#ffee58,taxi(1).png,,,
Main,8.0,USD,,,2024-12-04,False,null,Taxi,,#ffee58,taxi(1).png,,,
Main,8.0,USD,,,2024-12-04,False,null,Taxi,,#ffee58,taxi(1).png,,,
Main,12.0,USD,,,2024-12-03,False,null,Taxi,,#ffee58,taxi(1).png,,,
Main,8.0,USD,,,2024-12-03,False,null,Taxi,,#ffee58,taxi(1).png,,,
Main,8.0,USD,,,2024-12-03,False,null,Taxi,,#ffee58,taxi(1).png,,,
Main,8.0,USD,,,2024-12-03,False,null,Taxi,,#ffee58,taxi(1).png,,,
Main,12.0,USD,,,2024-12-02,False,null,Taxi,,#ffee58,taxi(1).png,,,
Main,8.0,USD,,,2024-12-02,False,null,Taxi,,#ffee58,taxi(1).png,,,
Main,50.0,USD,,Remesa Tia Tita,2024-12-02,False,null,Gifts,,#f44336,gift.png,,,
Main,8.0,USD,,,2024-12-02,False,null,Taxi,,#ffee58,taxi(1).png,,,
Main,8.0,USD,,,2024-12-02,False,null,Taxi,,#ffee58,taxi(1).png,,,
Main,50.0,USD,,,2024-12-01,False,null,Other Expense,Mobile,#78909c,price-tag.png,,,
Main,20.0,USD,,,2024-12-01,False,null,Other Expense,Home Wifi,#78909c,price-tag.png,,,
Main,140.0,USD,,"63 Bills Renta, 77 Corriente",2024-12-01,False,null,Rent,Bills & Fees,#ab47bc,home2.png,,,
Main,24.0,USD,,,2024-12-01,False,null,Shopping,Home Items,#ef5350,shopping.png,,,
Main,27.5,USD,,Regalo Amigo Secreto Jenni,2024-12-01,False,null,Gifts,,#f44336,gift.png,,,
Main,66.0,USD,,,2024-12-01,False,null,Groceries,,#4caf50,groceries.png,,,
Main,10.0,USD,,,2024-12-01,False,null,Shopping,Electronics,#ef5350,shopping.png,,,
Main,10.0,USD,,,2024-11-30,False,null,Other Expense,Mobile,#78909c,price-tag.png,,,
Main,10.0,USD,,,2024-11-29,False,null,Dining,Tip,#26c6da,food-tray.png,,,
Main,102.0,USD,,,2024-11-29,False,null,Dining,,#26c6da,food-tray.png,,,
Main,12.0,USD,,,2024-11-29,False,null,Taxi,,#ffee58,taxi(1).png,,,
Main,18.0,USD,,,2024-11-28,False,null,Groceries,,#4caf50,groceries.png,,,
Main,1.0,USD,,MySudo Basic 1 Mes,2024-11-28,False,null,Subscription,,#ff7043,subscription.png,,,
Main,1198.0,USD,,,2024-11-28,True,null,Salary,,#66bb6a,money-bag2.png,,,
Main,1319.0,USD,,,2024-11-28,True,null,Salary,,#66bb6a,money-bag2.png,,,
Main,12.0,USD,,,2024-11-27,False,null,Taxi,,#ffee58,taxi(1).png,,,
Main,8.0,USD,,,2024-11-27,False,null,Taxi,,#ffee58,taxi(1).png,,,
Main,8.0,USD,,,2024-11-27,False,null,Taxi,,#ffee58,taxi(1).png,,,
Main,8.0,USD,,,2024-11-27,False,null,Taxi,,#ffee58,taxi(1).png,,,
