bathrooms,bedrooms,price,county,propertyType,addressLine1,addressLine2,city,state,zipCode,formattedAddress,lastSeenDate,listedDate,status,removedDate,daysOnMarket,createdDate,yearBuilt,id,latitude,longitude,squareFootage,lotSize
1.0,1,210000,Fulton,Condo,1195 Se Milton Ter,Unit 3305,Atlanta,GA,30315,"1195 Se Milton Ter, Unit 3305, Atlanta, GA 30315",2024-01-01T00:00:00.000Z,2023-12-06T00:00:00.000Z,Active,,27,2020-09-15T05:53:30.379Z,2006.0,"1195-Se-Milton-Ter,-Unit-3305,-Atlanta,-GA-30315",33.72244,-84.380369,,
1.0,1,249999,DeKalb,Condo,1142 N Jamestown Rd,Apt 301,Decatur,GA,30033,"1142 N Jamestown Rd, Apt 301, Decatur, GA 30033",2024-01-01T00:00:00.000Z,2023-11-10T00:00:00.000Z,Active,,53,2020-09-16T19:08:46.166Z,1986.0,"1142-N-Jamestown-Rd,-Apt-301,-Decatur,-GA-30033",33.811996,-84.306793,890.0,
1.0,1,155000,Fulton,Condo,20 Marietta St NW,Apt 10F,Atlanta,GA,30303,"20 Marietta St NW, Apt 10F, Atlanta, GA 30303",2024-01-01T00:00:00.000Z,2023-06-16T00:00:00.000Z,Active,,200,2020-09-16T19:12:04.768Z,1995.0,"20-Marietta-St-NW,-Apt-10F,-Atlanta,-GA-30303",33.754581,-84.390627,543.0,544.0
1.0,1,214900,Fulton,Condo,2479 Peachtree Rd NE,Apt 1506,Atlanta,GA,30305,"2479 Peachtree Rd NE, Apt 1506, Atlanta, GA 30305",2024-01-01T00:00:00.000Z,2023-09-25T00:00:00.000Z,Active,,99,2020-09-17T14:51:51.095Z,1967.0,"2479-Peachtree-Rd-NE,-Apt-1506,-Atlanta,-GA-30305",33.822487,-84.386465,837.0,836.0
1.0,1,200000,Fulton,Condo,215 Piedmont Ave NE,Apt 1505,Atlanta,GA,30308,"215 Piedmont Ave NE, Apt 1505, Atlanta, GA 30308",2024-01-01T00:00:00.000Z,2023-11-29T00:00:00.000Z,Active,,34,2020-09-17T14:51:51.094Z,1963.0,"215-Piedmont-Ave-NE,-Apt-1505,-Atlanta,-GA-30308",33.760264,-84.381853,550.0,549.0
1.0,1,196200,Fulton,Condo,2840 Peachtree Rd NW,Apt 306,Atlanta,GA,30305,"2840 Peachtree Rd NW, Apt 306, Atlanta, GA 30305",2024-01-01T00:00:00.000Z,2023-11-18T00:00:00.000Z,Active,,45,2020-09-17T15:49:55.396Z,1925.0,"2840-Peachtree-Rd-NW,-Apt-306,-Atlanta,-GA-30305",33.832857,-84.384806,621.0,623.0
1.0,1,404000,Chatham,Condo,321 Abercorn St,Apt 206,Savannah,GA,31401,"321 Abercorn St, Apt 206, Savannah, GA 31401",2024-01-01T00:00:00.000Z,2023-09-15T00:00:00.000Z,Active,,109,2020-09-20T18:54:13.904Z,1928.0,"321-Abercorn-St,-Apt-206,-Savannah,-GA-31401",32.073355,-81.092346,600.0,436.0
1.0,1,225000,Fulton,Condo,878 Peachtree St NE,Apt 826,Atlanta,GA,30309,"878 Peachtree St NE, Apt 826, Atlanta, GA 30309",2024-01-01T00:00:00.000Z,2023-10-20T00:00:00.000Z,Active,,74,2020-09-20T19:11:37.173Z,1951.0,"878-Peachtree-St-NE,-Apt-826,-Atlanta,-GA-30309",33.778994,-84.385394,515.0,523.0
1.0,1,220000,Fulton,Condo,970 Sidney Marcus Blvd NE,Unit 2209,Atlanta,GA,30324,"970 Sidney Marcus Blvd NE, Unit 2209, Atlanta, GA 30324",2024-01-01T00:00:00.000Z,2023-12-12T00:00:00.000Z,Active,,21,2020-09-20T19:11:40.646Z,1988.0,"970-Sidney-Marcus-Blvd-NE,-Unit-2209,-Atlanta,-GA-30324",33.825333,-84.356431,840.0,828.0
1.0,1,689000,Chatham,Condo,105 Whitaker St,Apt 304,Savannah,GA,31401,"105 Whitaker St, Apt 304, Savannah, GA 31401",2024-01-01T00:00:00.000Z,2023-10-28T00:00:00.000Z,Active,,66,2020-09-20T19:53:52.704Z,1890.0,"105-Whitaker-St,-Apt-304,-Savannah,-GA-31401",32.078993,-81.093404,1195.0,436.0
1.0,1,263500,Fulton,Condo,3481 Lakeside Dr NE,Apt 604,Atlanta,GA,30326,"3481 Lakeside Dr NE, Apt 604, Atlanta, GA 30326",2024-01-01T00:00:00.000Z,2023-12-10T00:00:00.000Z,Active,,23,2020-09-20T19:57:40.321Z,1990.0,"3481-Lakeside-Dr-NE,-Apt-604,-Atlanta,-GA-30326",33.849083,-84.357144,750.0,749.0
1.0,1,249900,Fulton,Condo,1284 Piedmont Ave NE,Apt 2,Atlanta,GA,30309,"1284 Piedmont Ave NE, Apt 2, Atlanta, GA 30309",2024-01-01T00:00:00.000Z,2023-11-14T00:00:00.000Z,Active,,49,2020-09-20T19:57:54.232Z,1966.0,"1284-Piedmont-Ave-NE,-Apt-2,-Atlanta,-GA-30309",33.790083,-84.375944,640.0,640.0
