id,formattedAddress,addressLine1,addressLine2,city,state,zipCode,county,latitude,longitude,propertyType,bedrooms,bathrooms,squareFootage,yearBuilt,status,price,listedDate,removedDate,createdDate,lastSeenDate,daysOnMarket,lotSize
"1305-Walden-Park-Dr,-Savannah,-GA-31410","1305 Walden Park Dr, Savannah, GA 31410",1305 Walden Park Dr,,Savannah,GA,31410,Chatham,32.034308,-81.009468,Condo,1,1.0,1056.0,2002.0,Active,209900,2024-01-10T00:00:00.000Z,,2020-09-15T13:54:01.059Z,2024-05-01T00:00:00.000Z,113,
"1175-N-Beachview-Dr,-Unit-229,-Jekyll-Island,-GA-31527","1175 N Beachview Dr, Unit 229, Jekyll Island, GA 31527",1175 N Beachview Dr,Unit 229,Jekyll Island,GA,31527,Glynn,31.097898,-81.404007,Condo,1,1.0,480.0,1973.0,Active,279000,2024-03-05T00:00:00.000Z,,2020-09-15T15:27:05.820Z,2024-05-01T00:00:00.000Z,58,436.0
"10-Perimeter-Summit-Blvd-NE,-Unit-1402,-Brookhaven,-GA-30319","10 Perimeter Summit Blvd NE, Unit 1402, Brookhaven, GA 30319",10 Perimeter Summit Blvd NE,Unit 1402,Brookhaven,GA,30319,DeKalb,33.914219,-84.34082,Condo,1,1.0,648.0,2005.0,Active,198500,2024-04-16T00:00:00.000Z,,2020-09-16T13:42:34.154Z,2024-05-01T00:00:00.000Z,16,
"1501-Clairmont-Rd,-Apt-1819,-Decatur,-GA-30033","1501 Clairmont Rd, Apt 1819, Decatur, GA 30033",1501 Clairmont Rd,Apt 1819,Decatur,GA,30033,DeKalb,33.79818,-84.305733,Condo,1,1.0,814.0,1968.0,Active,161500,2024-03-12T00:00:00.000Z,,2020-09-16T19:08:46.106Z,2024-05-01T00:00:00.000Z,51,8712.0
"20-Marietta-St-NW,-Apt-10F,-Atlanta,-GA-30303","20 Marietta St NW, Apt 10F, Atlanta, GA 30303",20 Marietta St NW,Apt 10F,Atlanta,GA,30303,Fulton,33.754581,-84.390627,Condo,1,1.0,543.0,1995.0,Active,155000,2023-06-16T00:00:00.000Z,,2020-09-16T19:12:04.768Z,2024-05-01T00:00:00.000Z,321,544.0
"1280-W-Peachtree-St-NW,-Apt-1401,-Atlanta,-GA-30309","1280 W Peachtree St NW, Apt 1401, Atlanta, GA 30309",1280 W Peachtree St NW,Apt 1401,Atlanta,GA,30309,Fulton,33.789685,-84.388805,Condo,1,1.0,457.0,1989.0,Active,182900,2024-04-08T00:00:00.000Z,,2020-09-16T19:12:04.784Z,2024-05-01T00:00:00.000Z,24,479.0
"2479-Peachtree-Rd-NE,-Apt-603,-Atlanta,-GA-30305","2479 Peachtree Rd NE, Apt 603, Atlanta, GA 30305",2479 Peachtree Rd NE,Apt 603,Atlanta,GA,30305,Fulton,33.822483,-84.386464,Condo,1,1.0,837.0,1967.0,Active,205000,2024-04-17T00:00:00.000Z,,2020-09-16T19:12:09.131Z,2024-05-01T00:00:00.000Z,15,836.0
"373-Moreland-Ave-NE,-Apt-106,-Atlanta,-GA-30307","373 Moreland Ave NE, Apt 106, Atlanta, GA 30307",373 Moreland Ave NE,Apt 106,Atlanta,GA,30307,DeKalb,33.764531,-84.348738,Condo,1,1.0,442.0,1920.0,Active,164000,2024-04-20T00:00:00.000Z,,2020-09-17T14:40:26.558Z,2024-05-01T00:00:00.000Z,12,627.0
"3300-Windy-Ridge-Pkwy-SE,-Unit-1719,-Atlanta,-GA-30339","3300 Windy Ridge Pkwy SE, Unit 1719, Atlanta, GA 30339",3300 Windy Ridge Pkwy SE,Unit 1719,Atlanta,GA,30339,Cobb,33.90353,-84.456684,Condo,1,1.0,776.0,2006.0,Active,320000,2024-03-08T00:00:00.000Z,,2020-09-17T15:23:36.242Z,2024-05-01T00:00:00.000Z,55,1307.0
"2514-Abercorn-St,-Apt-211,-Savannah,-GA-31401","2514 Abercorn St, Apt 211, Savannah, GA 31401",2514 Abercorn St,Apt 211,Savannah,GA,31401,Chatham,32.052453,-81.098696,Condo,1,1.0,853.0,2006.0,Active,399900,2024-03-09T00:00:00.000Z,,2020-09-20T18:01:44.639Z,2024-05-01T00:00:00.000Z,54,871.0
"110-Barnard-St,-Apt-214,-Savannah,-GA-31401","110 Barnard St, Apt 214, Savannah, GA 31401",110 Barnard St,Apt 214,Savannah,GA,31401,Chatham,32.079258,-81.093882,Condo,1,1.0,864.0,1860.0,Active,580000,2024-04-30T00:00:00.000Z,,2020-09-20T18:22:27.492Z,2024-05-01T00:00:00.000Z,2,436.0
